id,window_start,window_end,ch1_rms,ch1_mean,ch1_std,ch1_kurtosis,ch1_crest,ch2_rms,ch2_mean,ch2_std,ch2_kurtosis,ch2_crest,ch3_rms,ch3_mean,ch3_std,ch3_kurtosis,ch3_crest,ch4_rms,ch4_mean,ch4_std,ch4_kurtosis,ch4_crest,fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,fft_bin_9,fft_bin_10
1,0,49,0.002466292796858438,-0.0021543457031250003,0.001200581005706264,37.29008592124882,4.134138536485875,0.0024165172380574097,-0.0018059765625,0.0016056164602822481,39.32545688966292,5.253416157432518,0.002757134042243469,-0.0020364970703125,0.001858619866865308,37.99830923783133,5.2739426426446325,0.0033272339226393544,-0.0031643417968749993,0.0010283124858290707,36.68494838654666,3.013306787443071,0.10771728515625001,0.011587415214942578,0.011472794172813817,0.010669468077381557,0.01035960538774938,0.01024800685341734,0.010001474406603747,0.009499636317092752,0.009268299487460389,0.009156580290537756
2,50,99,0.002050876216748797,-0.0020283486328125,0.00030314201324382537,0.10186286594402638,1.3371047485606904,0.0015593942989768164,-0.0015010195312499999,0.0004226712037594078,-0.4732960445676677,1.51040841124687,0.0017691673413645385,-0.0016830205078124999,0.0005453393916025363,-0.8541040118232242,1.6342764904986133,0.0030527959328290827,-0.0030382451171875003,0.0002977072645806646,-0.14021155650315276,1.2099244184746483,0.101417431640625,0.004529862091733726,0.0043268888100729454,0.0030388494917829604,0.0027369521858317393,0.002435856220228195,0.0023962356637946373,0.0023602629467475377,0.0023241298100498404,0.0020177495033619885
3,100,149,0.0019169235731798483,-0.0018837792968749998,0.0003549247048005087,-0.38692231172542035,1.4571076810676487,0.001427588981804664,-0.0013826181640624999,0.00035549586970106886,-0.5564984955474843,1.4210065411723483,0.0015621175250722927,-0.0014862763671875,0.0004808260834001343,0.0004604833165990918,1.6736596850349057,0.002934431110905921,-0.0029257832031250007,0.00022511906397320588,-0.3128919401294197,1.1305361561975207,0.09418896484375,0.005008779303242023,0.004043846561060917,0.0037596523852536745,0.0035110373969781472,0.0031851198076394828,0.0028973813669151377,0.002767719659171742,0.002697991844055262,0.00265538964041018
4,150,199,0.001995358651555734,-0.001972498046875,0.0003011770300215941,-0.4152539073673225,1.2951198089677451,0.001627684612160725,-0.0015700634765625,0.00042925269507515756,-0.6878737963385899,1.5148951252305125,0.0018495236874930365,-0.0017567382812500002,0.0005784535260404548,0.11799374477339031,1.7726798004377242,0.0029856487450265336,-0.0029720458984374997,0.0002846780747780657,-0.6810383758124945,1.219440270247746,0.09862490234375,0.004123429557164036,0.004075807268412351,0.0037648718514688073,0.003287775103094666,0.002783353981175431,0.0027301544985905532,0.002663980436072556,0.0023675284935583867,0.002184527666667494
5,200,249,0.0020367274653779075,-0.0020139287109375,0.00030389128892802396,-0.6939374060077195,1.328460943655495,0.001646937191000662,-0.0014327919921875002,0.0008121017289875237,9.393830319688613,3.1106806811571603,0.0016974442366512674,-0.0015881708984374998,0.0005991912331608563,-0.6658293749576036,1.6559247031850948,0.0029353330768346043,-0.0029206279296875005,0.00029344977132145174,-0.8812090437357027,1.1978749999869684,0.10069643554687499,0.003650663736857116,0.0036176452244335764,0.002958146460571341,0.0028558575467106965,0.0028529110948104217,0.002723976068560265,0.0023958228131364793,0.0023487697790457065,0.002202365947462316
6,250,299,0.0019341723301949912,-0.0019084677734375003,0.00031428229450994083,-0.8963735488206419,1.336544516493205,0.0019024196103865688,-0.0016615478515625004,0.0009265306853803731,12.287376556970708,3.1225397525038785,0.0017466964210306735,-0.0016806503906250001,0.00047577584189762985,-0.7678469750856505,1.5470890587160282,0.0029591390107109633,-0.002949701171875,0.00023614970114465102,0.5965742753008714,1.2107948100042683,0.095423388671875,0.004050983561801956,0.0037580110331331914,0.0035338696504445427,0.003159409585134574,0.0030747680280715137,0.002582707291035062,0.0024602735732599393,0.0022852385163579492,0.00217418015544045
7,300,349,0.0019316027705758053,-0.0019013271484374999,0.0003406528113940235,0.4792509069026081,1.4008363501121874,0.0014952311205907018,-0.0014509345703125002,0.00036125472544315106,-0.4056408905652886,1.5648056421041228,0.0017576645446901748,-0.0016487597656249997,0.0006090778988907037,-0.42859828344636464,1.6585562675663248,0.0029896290526284655,-0.0029757216796875,0.0002880318686499444,0.1768785374890438,1.270342071087699,0.095066357421875,0.004450586490200316,0.004103685614144859,0.003908400535601015,0.003682653434144458,0.003673527629626621,0.0036553057548496123,0.003298611813323919,0.002377399737296562,0.00228643904529713
8,350,399,0.0019249009036281853,-0.0018964199218750003,0.000329901453019267,-0.3132007802047698,1.3624636036752489,0.0014726041581631776,-0.0014166025390625,0.0004022440216599356,2.9419233560476084,2.0317694819169865,0.0015890807067368206,-0.0014969765625,0.0005331403791206186,-0.5160740909510464,1.6913830299684938,0.0029325747315282267,-0.0029177099609374994,0.0002948951336389612,-0.11400672451779181,1.219781228733052,0.09482099609375,0.00373318768039703,0.0034235354403760647,0.003421156280080745,0.003109889979772637,0.00308080745106465,0.0030126274492346217,0.0028745815937719875,0.00287099031006416,0.0027125679379897687
9,400,449,0.0019528849566968324,-0.0019298154296874996,0.0002992859192024216,-0.44397584489002817,1.284832908754143,0.0016143994951771238,-0.0015548955078125,0.0004342645389767166,1.0271856129489745,1.7418313912700278,0.0018040116144586698,-0.0017312617187499998,0.0005071397896956736,-0.13703841156432395,1.6553818728579022,0.002994326644264965,-0.0029862714843749997,0.00021948729841113435,0.6761159631700409,1.125256248204712,0.09649077148437502,0.00376859963820586,0.0037356017982480023,0.003455285759225466,0.0033151133871990902,0.0029359207321039337,0.00240550392131035,0.0023347276003370223,0.0019926772735328604,0.0019190858524460804
10,450,499,0.002033464555714252,-0.0020151425781250003,0.0002723572822119672,1.6079647320374484,1.2132445765121476,0.0015172166719784825,-0.0014614628906250001,0.00040752012104371116,-0.42777355087283064,1.537399636093691,0.001707911456760049,-0.001627638671875,0.0005174494158361943,0.8152705693865245,1.9331851023696656,0.0029557260336802458,-0.0029420224609375003,0.00028428898240067605,0.046909624604876576,1.2568625657177155,0.10075712890625,0.0035880911352970018,0.003047842230115048,0.0030433055945360936,0.0028030493878003836,0.002553261480918443,0.002281274755688834,0.002058012493798001,0.0020508987387216106,0.001996915057911088
11,500,549,0.0019928574686059915,-0.0019657890625,0.0003273442407222884,0.02930816160256322,1.415528862482202,0.0015525758759297981,-0.0015038388671875,0.0003859540284222941,-0.9605556882861164,1.486755537707693,0.0016213659551208063,-0.0015356582031250002,0.0005201744357421853,-0.7433738441259434,1.604429388247624,0.002963621204864686,-0.0029517167968749996,0.0002653650258975445,0.0746267694175935,1.1535059480235044,0.09828945312500001,0.003967451118933469,0.003949080007053633,0.003038111162257204,0.0028863575159475295,0.0028539007134216502,0.0028278445927360125,0.0027661059015397556,0.0025877750686202263,0.002519153660816269
